# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
227699 | BKI001194 | Bendigo Kangan Institute - Cleaning Services | 5 Jan 2026 | 7800992.00 | Bendigo Kangan Institute | Purchases of Goods/Services | Cleaning Equipment and Supplies | Blue Sky Services | 65151650298
229331 | CONTRACTSJANUAR2026 | DFFH CAPITAL CONTRACT 1 JANUARY TO 31 JANUARY 2026 | 5 Jan 2026 | 52208541.13 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
233114 | PAB007/25-26 | Facility Maintenance Services Agreement | 1 Jan 2026 | 10808421.80 | Department of Justice and Community Safety | Purchases of Goods/Services | Building and Facility Construction and Maintenance Services | Honeywell | 74000646882
229288 | CONS-1857 | ITC Delivery Contract for the Northern Highway Intersection Upgrade | 30 Dec 2025 | 20820282.92 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | Ace Infrastructure Pty Ltd | 22131093493
231723 | SRLA-CON-00001020 | Project Alliance Agreement SRL East Linewide Delivery Alliance | 29 Dec 2025 | 6744591234.00 | Suburban Rail Loop Authority | Construction Contracts | Transportation components and systems | Several suppliers |
231725 | SRLA-CON-00001160 | SRL East Franchise Agreement | 29 Dec 2025 | 1703139377.00 | Suburban Rail Loop Authority | Purchases of Goods/Services | Transportation and Storage and Mail Services | |
228887 | PA-000741 | PA-000741 - Harkness Main Works | 23 Dec 2025 | 32681112.00 | The Greater Metropolitan Cemeteries Trust | Construction Contracts | Nonresidential building construction services | BUILDING ENGINEERING PTY LTD | 41103839514
228552 | PANEL-SWLH | PANEL - Safework & Labour Hire 801881,801882, 801883, 801884, 801885, 801886, 80 | 20 Dec 2025 | 78000000.00 | V/Line | Purchases of Goods/Services | Temporary personnel services | Several suppliers |
230476 | DOT41713 | Bridge Fatigue Treatments to Steel Sections | 19 Dec 2025 | 5439310.80 | Department of Transport and Planning (DTP) | Construction Contracts | Road bridge | SRG Civil Limited | 31083214439
228575 | 5313 | Multi Function Devices and Printers | 18 Dec 2025 | 16395927.58 | Victoria Police | Purchases of Goods/Services | Police services | |
229249 | 2025-26 -09 | Head Contractor Services, Design and Construction | 18 Dec 2025 | 15501609.00 | Independent Broad-based Anti-corruption Commission | Construction Contracts | Building and Facility Construction and Maintenance Services | Plan Group | 67160102198
228405 | PAT-2526-128 | Delivery of upgrades to Serendip Sanctuary infrastructure | 18 Dec 2025 | 5725607.24 | Parks Victoria | Construction Contracts | Building and facility maintenance and repair services | Naturform Pty Ltd | 87010444247
230725 | VN1000310VictorianCollegefortheDeaf-Upgrad | Victorian College of the Deaf Design and Construct Minor Works Contract | 18 Dec 2025 | 9742255.60 | Department of Education | Construction Contracts | Building and Facility Construction and Maintenance Services | |
